BranchID,BranchName,ProvinceID,ProvinceName,OpenDate,Latitude,Longitude
B00464,Best Energy สาขา EV Hub สวนหลวง,P001,กรุงเทพมหานคร,2028-01-10,13.7012,100.6512
B00465,Best Energy สาขามีนบุรี 2,P001,กรุงเทพมหานคร,2028-01-25,13.8112,100.7312
B00466,Best Energy สาขาบางบอน 2,P001,กรุงเทพมหานคร,2028-02-10,13.6512,100.4012
B00467,Best Energy สาขาธัญบุรี 2,P003,ปทุมธานี,2028-02-25,14.0312,100.7812
B00468,Best Energy สาขา EV Hub แม่โจ้,P007,เชียงใหม่,2028-03-10,18.8934,99.0123
B00469,Best Energy สาขา EV Hub เชียงแสน,P008,เชียงราย,2028-03-25,20.2712,100.0812
B00470,Best Energy สาขาเสนา 2,P026,พระนครศรีอยุธยา,2028-04-10,14.2712,100.3612
B00471,Best Energy สาขา EV Hub บางละมุง 2,P035,ชลบุรี,2028-04-25,12.9112,100.8912
B00472,Best Energy สาขา EV Hub มาบตาพุด,P036,ระยอง,2028-05-10,12.7112,101.1512
B00473,Best Energy สาขา EV Hub โคราช 2,P043,นครราชสีมา,2028-05-25,14.9812,102.0912
B00474,Best Energy สาขาชุมแพ 2,P053,ขอนแก่น,2028-06-10,16.5412,102.0312
B00475,Best Energy สาขา EV Hub หนองหาน,P054,อุดรธานี,2028-06-25,17.3212,103.0712
B00476,Best Energy สาขา EV Hub เกาะพะงัน,P064,สุราษฎร์ธานี,2028-07-10,9.7112,100.0312
B00477,Best Energy สาขา EV Hub สงขลา,P067,สงขลา,2028-07-25,7.0212,100.4612
B00478,Best Energy สาขา EV Hub ตรัง,P069,ตรัง,2028-08-10,7.5512,99.6112
B00479,Best Energy สาขา EV Hub กระบี่,P070,กระบี่,2028-08-25,8.0712,98.9012
B00480,Best Energy สาขา EV Hub ภูเก็ต 3,P071,ภูเก็ต,2028-09-10,7.9212,98.3312
B00481,Best Energy สาขาทุ่งสง 2,P065,นครศรีธรรมราช,2028-09-25,8.1623,99.6812
B00482,Best Energy สาขานครไทย 2,P018,พิษณุโลก,2028-10-10,17.1234,100.8234
B00483,Best Energy สาขาเดชอุดม 2,P047,อุบลราชธานี,2028-10-25,14.8934,104.9923
B00484,Best Energy สาขาดอนตาล 2,P060,มุกดาหาร,2028-11-10,16.5612,104.7312
B00485,Best Energy สาขากระบุรี 2,P073,ระนอง,2028-11-25,10.0512,98.8512
B00486,Best Energy สาขาละงู 2,P068,สตูล,2028-12-10,6.9412,100.0812
B00487,Best Energy สาขา EV Hub พังงา,P072,พังงา,2028-12-25,8.4512,98.5212
