CafeSaleID,BranchID,ProductID,SaleDate,Quantity,Revenue
480001,B00326,PR0016,2027-05-12,1,36.28
480002,B00347,PR0016,2027-06-12,3,106.4
480003,B00166,PR0002,2027-08-03,2,114.81
480004,B00460,PR0008,2027-05-15,3,176.8
480005,B00166,PR0016,2027-03-26,6,214.65
480006,B00307,PR0015,2027-03-20,5,77.16
480007,B00460,PR0016,2027-09-01,1,37.26
480008,B00420,PR0016,2027-04-09,5,177.74
480009,B00102,PR0011,2027-01-27,3,183.53
480010,B00042,PR0008,2027-09-18,5,291.35
480011,B00159,PR0001,2027-03-06,6,271.38
480012,B00446,PR0015,2027-12-17,3,46.88
480013,B00079,PR0002,2027-03-22,2,118.18
480014,B00137,PR0015,2027-01-04,5,80.1
480015,B00463,PR0003,2027-04-10,4,235.47
480016,B00010,PR0016,2027-12-06,6,220.98
480017,B00137,PR0010,2027-09-03,1,70.18
480018,B00167,PR0012,2027-08-12,3,213.36
480019,B00267,PR0004,2027-04-13,5,207.97
480020,B00311,PR0008,2027-10-04,4,232.95
480021,B00386,PR0007,2027-01-15,5,277.53
480022,B00448,PR0002,2027-03-01,6,354.25
480023,B00417,PR0004,2027-05-23,4,165.16
480024,B00409,PR0016,2027-01-10,2,71.99
480025,B00112,PR0009,2027-01-17,3,137.24
480026,B00009,PR0003,2027-03-27,1,58.39
480027,B00255,PR0001,2027-06-16,1,47.27
480028,B00251,PR0015,2027-08-09,2,31.53
480029,B00447,PR0007,2027-12-17,1,56.01
480030,B00216,PR0005,2027-06-23,4,242.89
480031,B00006,PR0012,2027-04-01,1,71.89
480032,B00077,PR0016,2027-01-11,3,111.43
480033,B00066,PR0002,2027-05-17,2,117.16
480034,B00272,PR0001,2027-12-14,1,47.67
480035,B00281,PR0004,2027-02-15,4,170.47
480036,B00338,PR0003,2027-10-09,1,55.78
480037,B00339,PR0006,2027-05-14,4,147.91
480038,B00207,PR0001,2027-04-15,2,93.25
480039,B00144,PR0008,2027-05-07,1,59.14
480040,B00058,PR0004,2027-09-19,3,129.57
480041,B00276,PR0005,2027-11-02,6,383.21
480042,B00276,PR0010,2027-11-06,5,325.81
480043,B00277,PR0003,2027-08-28,2,114.21
480044,B00349,PR0005,2027-12-04,6,376.49
480045,B00085,PR0003,2027-08-19,2,116.52
480046,B00452,PR0016,2027-02-19,2,74.85
480047,B00252,PR0006,2027-08-30,2,71.44
480048,B00078,PR0016,2027-04-06,2,70.13
480049,B00423,PR0011,2027-12-30,6,380.7
480050,B00327,PR0016,2027-10-04,3,106.32
480051,B00234,PR0006,2027-10-04,4,146.32
480052,B00222,PR0011,2027-10-18,5,310.93
480053,B00365,PR0004,2027-07-05,6,246.4
