ProfitLossID,BranchID,YearMonth,Revenue,COGS,OperatingExpense,NetProfit
25423,B00001,2027-01-01,6132320.23,3709468.43,704405.91,1718445.89
25424,B00001,2027-02-01,6081615.54,3642884.51,751188.18,1687542.85
25425,B00001,2027-03-01,3559595.53,1991229.25,519889.23,1048477.05
25426,B00001,2027-04-01,2972592.9,1811792.39,407704.78,753095.73
25427,B00001,2027-05-01,4459090.86,2608081.57,464039.25,1386970.04
25428,B00001,2027-06-01,6650502.36,3799410.06,599168.51,2251923.79
25429,B00001,2027-07-01,3772020.79,2446018.73,540323.78,785678.28
25430,B00001,2027-08-01,4139577.4,2388832.79,355841.32,1394903.29
25431,B00001,2027-09-01,6331461.96,4081679.83,841920.29,1407861.84
25432,B00001,2027-10-01,1956817.14,1188064.13,239635.65,529117.36
25433,B00001,2027-11-01,5957859.76,3370750.73,711784.52,1875324.51
25434,B00001,2027-12-01,2679583.64,1576210.84,297387.29,805985.51
25435,B00002,2027-01-01,3587497.47,2190346.37,484852.82,912298.28
25436,B00002,2027-02-01,1596635.31,972749.0,199163.34,424722.97
25437,B00002,2027-03-01,4653050.28,2899465.04,668235.69,1085349.55
25438,B00002,2027-04-01,3662864.24,2264653.48,504840.31,893370.45
25439,B00002,2027-05-01,4394797.75,2535063.32,402398.72,1457335.71
25440,B00002,2027-06-01,3192935.18,1953669.42,366594.86,872670.9
25441,B00002,2027-07-01,7794967.18,4831742.71,1034319.44,1928905.03
25442,B00002,2027-08-01,7138471.6,4230350.47,919014.7,1989106.43
25443,B00002,2027-09-01,5735020.09,3137600.1,854969.67,1742450.32
25444,B00002,2027-10-01,7502979.28,4854750.04,889376.49,1758852.75
25445,B00002,2027-11-01,4275632.53,2309386.6,481715.67,1484530.26
25446,B00002,2027-12-01,6247315.16,3698001.39,658434.63,1890879.14
25447,B00003,2027-01-01,4437858.44,2690546.1,357777.95,1389534.39
25448,B00003,2027-02-01,2393608.45,1476183.48,239770.02,677654.95
25449,B00003,2027-03-01,3713096.6,2115365.9,408988.17,1188742.53
25450,B00003,2027-04-01,1617811.04,913505.78,223025.71,481279.55
25451,B00003,2027-05-01,5639094.59,3120886.19,628730.51,1889477.89
