StoreSaleID,BranchID,ProductID,SaleDate,Quantity,Revenue
480001,B00217,PR0020,2027-07-16,10,150.0
480002,B00375,PR0020,2027-08-26,9,135.0
480003,B00058,PR0025,2027-08-25,3,597.0
480004,B00281,PR0013,2027-12-14,7,70.0
480005,B00304,PR0019,2027-08-25,2,50.0
480006,B00187,PR0024,2027-07-27,7,665.0
480007,B00157,PR0021,2027-08-03,1,40.0
480008,B00434,PR0025,2027-01-20,9,1791.0
480009,B00260,PR0022,2027-04-28,6,1080.0
480010,B00363,PR0027,2027-03-30,2,50.0
480011,B00181,PR0027,2027-02-09,1,25.0
480012,B00027,PR0026,2027-07-26,1,120.0
480013,B00280,PR0021,2027-01-21,9,360.0
480014,B00122,PR0025,2027-01-30,6,1194.0
480015,B00157,PR0024,2027-09-16,10,950.0
480016,B00285,PR0019,2027-06-23,8,200.0
480017,B00082,PR0021,2027-07-26,4,160.0
480018,B00025,PR0025,2027-12-29,1,199.0
480019,B00040,PR0020,2027-01-25,1,15.0
480020,B00061,PR0027,2027-01-25,6,150.0
480021,B00182,PR0014,2027-06-21,5,125.0
480022,B00030,PR0019,2027-05-20,2,50.0
480023,B00060,PR0019,2027-03-16,9,225.0
480024,B00321,PR0018,2027-11-16,3,90.0
480025,B00124,PR0020,2027-07-31,6,90.0
480026,B00227,PR0023,2027-12-07,8,600.0
480027,B00078,PR0025,2027-02-24,2,398.0
480028,B00225,PR0019,2027-04-07,6,150.0
480029,B00429,PR0019,2027-04-03,9,225.0
480030,B00385,PR0024,2027-03-30,8,760.0
480031,B00010,PR0019,2027-08-09,8,200.0
480032,B00313,PR0013,2027-12-16,9,90.0
480033,B00287,PR0024,2027-07-07,9,855.0
480034,B00272,PR0023,2027-09-06,10,750.0
480035,B00008,PR0024,2027-08-30,4,380.0
480036,B00141,PR0014,2027-12-28,10,250.0
480037,B00254,PR0019,2027-06-17,7,175.0
480038,B00315,PR0014,2027-08-03,10,250.0
480039,B00311,PR0020,2027-12-15,10,150.0
480040,B00433,PR0024,2027-07-16,3,285.0
480041,B00089,PR0024,2027-10-30,3,285.0
480042,B00235,PR0018,2027-04-20,6,180.0
